KEY_DISTRITO,KEY_SECCION,Antig_1901_a_1940,Antig_1941_a_1950,Antig_1951_a_1960,Antig_1961_a_1970,Antig_1971_a_1980,Antig_1981_a_1990,Antig_1991_a_2000,Antig_2001_a_2010,Antig_2011_a_2020,Antig_2021_a_2030,Antig_Menor_1901
02,114,8,10,4,11,1,6,3,2,1,0,0
02,115,27,2,3,11,1,0,0,3,0,0,1
02,116,3,9,5,1,3,1,13,0,0,0,0
02,117,8,0,0,5,11,4,2,0,0,0,0
02,118,10,11,7,11,10,7,6,1,1,1,0
02,119,9,0,0,4,10,1,1,0,0,1,0
02,120,20,0,0,3,9,2,2,0,0,0,1
02,121,2,1,7,10,12,0,2,3,1,0,0
02,122,10,0,0,0,9,5,0,0,0,0,0
02,123,25,3,1,6,8,3,4,1,0,0,3
02,124,1,0,0,8,19,8,0,4,0,0,0
02,125,0,2,7,30,12,0,3,1,0,0,0
02,126,0,2,6,10,11,12,4,7,0,0,0
02,127,18,4,2,11,9,11,3,9,2,0,3
02,128,26,1,0,3,3,1,2,3,0,0,0
02,129,26,0,0,0,14,4,2,0,1,0,0
02,130,0,0,0,0,45,0,0,0,0,0,0
02,131,17,1,0,3,7,3,1,0,0,0,0
02,132,12,0,0,5,3,4,2,1,0,0,0
02,133,2,0,0,2,2,0,0,7,0,0,0
02,134,12,0,0,4,8,0,1,0,0,0,9
02,135,37,2,4,8,5,6,1,6,0,0,19
02,136,15,0,0,0,17,2,0,0,0,0,0
02,137,31,7,2,5,6,3,2,3,0,1,0
02,138,7,7,6,12,13,1,0,4,0,0,1
02,139,9,1,3,6,13,9,3,0,1,0,33
02,140,13,14,8,4,6,2,6,3,2,1,14
02,141,16,3,0,1,9,5,0,0,0,0,0
02,142,43,2,4,10,5,0,5,1,0,0,2
02,143,17,1,0,9,2,1,2,1,1,0,21
02,144,61,0,7,3,2,2,6,4,0,0,10
02,145,50,0,2,2,4,4,5,6,1,0,0
02,146,19,4,4,7,3,1,2,3,0,0,1
02,147,50,0,2,9,12,5,1,5,0,0,1
02,148,20,0,1,9,9,6,3,7,2,0,1
02,149,44,8,3,5,10,1,3,13,2,0,3
02,150,22,1,3,12,9,0,1,3,0,0,10
02,151,13,2,1,2,8,1,4,6,0,0,20
02,152,12,0,0,9,5,0,4,0,0,0,3
02,153,3,0,0,21,1,0,0,0,0,0,4
02,154,17,0,2,15,2,1,1,0,1,0,6
02,155,15,9,1,14,7,4,1,2,0,0,14
