KEY_DISTRITO,KEY_SECCION,Num_Obres_Recents
03,019,1
08,019,0
06,019,0
04,019,0
02,019,3
09,019,1
01,019,2
08,020,0
02,020,2
09,020,0
07,020,0
01,020,7
05,020,0
04,020,0
06,020,0
03,020,0
10,020,0
03,021,0
07,021,1
04,021,0
02,021,1
06,021,0
05,021,0
09,021,0
08,021,1
10,021,0
01,021,3
10,022,0
05,022,0
02,022,1
01,022,3
09,022,0
07,022,1
06,022,2
04,022,5
08,022,0
03,022,2
03,023,0
10,023,0
02,023,0
04,023,0
07,023,0
06,023,2
08,023,0
01,023,1
05,023,1
09,023,0
06,024,8
04,024,1
09,024,0
08,024,1
10,024,0
02,024,0
03,024,11
05,024,0
07,024,0
03,025,24
08,025,0
05,025,1
01,025,3
07,025,0
06,025,0
04,025,0
09,025,3
02,025,0
10,025,0
10,026,0
09,026,0
04,026,0
05,026,0
06,026,0
03,026,1
02,026,0
01,026,0
07,026,1
08,026,0
02,027,3
04,027,1
05,027,0
09,027,1
03,027,0
01,027,1
08,027,1
10,027,0
06,027,0
07,027,0
09,028,0
02,028,0
04,028,1
10,028,0
07,028,0
06,028,0
08,028,0
03,028,0
01,028,1
05,028,0
05,029,1
04,029,1
07,029,0
09,029,0
08,029,1
10,029,0
01,029,0
03,029,0
06,029,1
02,029,0
05,030,1
06,030,2
03,030,0
01,030,2
04,030,2
09,030,0
08,030,0
07,030,1
10,030,0
02,030,0
08,031,0
09,031,6
02,031,0
04,031,1
01,031,0
06,031,0
05,031,3
03,031,0
07,031,0
10,031,0
05,032,4
10,032,0
01,032,2
08,032,0
07,032,1
04,032,0
03,032,3
09,032,1
02,032,0
06,032,1
02,033,1
04,033,0
09,033,0
05,033,10
08,033,0
03,033,0
06,033,1
01,033,2
10,033,0
07,033,1
09,034,0
06,034,0
05,034,0
03,034,0
08,034,0
07,034,1
04,034,2
01,034,0
10,034,0
02,034,0
08,035,0
07,035,0
01,035,2
06,035,1
05,035,1
03,035,0
09,035,0
10,035,0
04,035,0
02,035,0
05,036,0
10,036,0
09,036,1
07,036,0
01,036,8
04,036,0
06,036,1
03,036,2
02,036,1
08,036,0
10,037,0
03,037,0
05,037,0
02,037,0
06,037,0
09,037,0
08,037,0
07,037,0
04,037,0
01,037,0
10,038,0
01,038,0
07,038,1
08,038,0
02,038,1
04,038,0
05,038,1
06,038,2
03,038,0
09,038,0
09,039,0
07,039,0
01,039,0
08,039,0
04,039,0
10,039,1
06,039,0
05,039,0
03,039,0
