KEY_DISTRITO,KEY_SECCION,Pob_0_14_anys,Pob_15_24_anys,Pob_25_39_anys,Pob_40_64_anys,Pob_65_o_mas,Pob_Total_Seccio,Pct_Pob_0_14_anys,Pct_Pob_15_24_anys,Pct_Pob_25_39_anys,Pct_Pob_40_64_anys,Pct_Pob_65_o_mas
02,014,126.0,124.0,493.0,465.0,171.0,1379.0,9.137055837563452,8.992023205221175,35.75054387237128,33.7200870195794,12.400290065264684
02,015,157.0,148.0,521.0,534.0,303.0,1663.0,9.440769693325315,8.899579073962718,31.328923631990378,32.110643415514126,18.220084185207455
02,016,191.0,159.0,506.0,640.0,411.0,1907.0,10.015731515469325,8.33770319874148,26.533822758259046,33.560566334556896,21.552176192973256
02,017,187.0,195.0,568.0,650.0,397.0,1997.0,9.364046069103656,9.764646970455683,28.44266399599399,32.54882323485228,19.87981972959439
02,018,188.0,197.0,425.0,594.0,473.0,1877.0,10.01598295151838,10.495471497069792,22.64251465103889,31.646244006393182,25.199786893979752
02,019,205.0,169.0,496.0,674.0,438.0,1982.0,10.343087790111,8.526740665993945,25.02522704339051,34.006054490413725,22.09889001009082
02,020,142.0,150.0,603.0,518.0,223.0,1636.0,8.679706601466993,9.168704156479219,36.858190709046454,31.662591687041562,13.63080684596577
02,021,139.0,97.0,427.0,495.0,309.0,1467.0,9.475119291070211,6.612133605998636,29.107021131561005,33.74233128834356,21.063394683026583
02,022,142.0,117.0,362.0,444.0,249.0,1314.0,10.80669710806697,8.904109589041095,27.54946727549467,33.789954337899545,18.949771689497716
02,023,53.0,75.0,265.0,341.0,264.0,998.0,5.31062124248497,7.515030060120241,26.553106212424847,34.168336673346694,26.452905811623246
02,024,76.0,75.0,395.0,382.0,189.0,1117.0,6.803939122649955,6.714413607878246,35.36257833482542,34.198746642793196,16.92032229185318
02,025,96.0,111.0,356.0,405.0,250.0,1218.0,7.8817733990147785,9.113300492610838,29.22824302134647,33.251231527093594,20.525451559934318
02,026,167.0,205.0,582.0,683.0,466.0,2103.0,7.941036614360438,9.747979077508322,27.674750356633382,32.477413219210646,22.15882073228721
02,027,214.0,181.0,518.0,720.0,490.0,2123.0,10.080075365049458,8.525671219971738,24.39943476212906,33.91427225624117,23.08054639660857
02,028,163.0,183.0,576.0,661.0,468.0,2051.0,7.947342759629448,8.922476840565578,28.083861530960508,32.228181374939055,22.818137493905414
02,029,120.0,116.0,310.0,405.0,276.0,1227.0,9.7799511002445,9.453952730236349,25.264873675631623,33.007334963325185,22.493887530562347
02,030,164.0,117.0,435.0,492.0,243.0,1451.0,11.302549965541006,8.063404548587181,29.97932460372157,33.90764989662302,16.747070985527223
02,031,88.0,113.0,210.0,327.0,269.0,1007.0,8.738828202581926,11.221449851042701,20.854021847070506,32.472691161866926,26.713008937437934
02,032,93.0,88.0,327.0,337.0,366.0,1211.0,7.679603633360858,7.26672171758877,27.002477291494632,27.82824112303881,30.22295623451693
02,033,94.0,106.0,337.0,413.0,231.0,1181.0,7.959356477561388,8.975444538526672,28.535139712108382,34.97036409822184,19.55969517358171
02,034,85.0,104.0,363.0,389.0,239.0,1180.0,7.203389830508475,8.813559322033898,30.76271186440678,32.96610169491526,20.25423728813559
02,035,109.0,118.0,368.0,429.0,315.0,1339.0,8.140403286034353,8.812546676624347,27.483196415235252,32.038834951456316,23.52501867064974
02,036,118.0,104.0,289.0,367.0,306.0,1184.0,9.966216216216216,8.783783783783784,24.408783783783782,30.99662162162162,25.844594594594593
02,037,89.0,93.0,286.0,390.0,284.0,1142.0,7.793345008756567,8.143607705779335,25.04378283712785,34.15061295971979,24.86865148861646
02,038,113.0,150.0,380.0,552.0,311.0,1506.0,7.50332005312085,9.9601593625498,25.232403718459494,36.65338645418327,20.650730411686588
02,039,154.0,175.0,550.0,615.0,347.0,1841.0,8.365019011406844,9.505703422053232,29.875067897881586,33.405757740358496,18.848451928299838
02,040,144.0,147.0,590.0,594.0,293.0,1768.0,8.144796380090497,8.314479638009049,33.3710407239819,33.59728506787331,16.57239819004525
02,041,152.0,129.0,448.0,509.0,449.0,1687.0,9.010077059869591,7.646710136336693,26.556016597510375,30.17190278601067,26.615293420272675
02,042,160.0,158.0,366.0,535.0,480.0,1699.0,9.417304296645085,9.299587992937022,21.54208357857563,31.489111241907004,28.251912889935255
02,043,171.0,120.0,370.0,488.0,349.0,1498.0,11.415220293724966,8.01068090787717,24.699599465954606,32.576769025367156,23.2977303070761
02,044,156.0,106.0,338.0,424.0,304.0,1328.0,11.74698795180723,7.981927710843372,25.451807228915662,31.92771084337349,22.89156626506024
02,045,117.0,106.0,277.0,382.0,258.0,1140.0,10.263157894736842,9.298245614035087,24.29824561403509,33.50877192982456,22.63157894736842
02,046,220.0,185.0,569.0,634.0,388.0,1996.0,11.022044088176353,9.268537074148297,28.507014028056112,31.763527054108216,19.438877755511022
02,047,191.0,177.0,506.0,650.0,436.0,1960.0,9.744897959183675,9.03061224489796,25.816326530612244,33.16326530612245,22.244897959183675
02,048,125.0,123.0,430.0,423.0,232.0,1333.0,9.377344336084022,9.227306826706677,32.25806451612903,31.732933233308323,17.404351087771943
02,049,173.0,154.0,687.0,691.0,448.0,2153.0,8.035299581978634,7.152810032512773,31.90896423594984,32.09475150952159,20.80817464003716
02,050,123.0,142.0,547.0,558.0,327.0,1697.0,7.248084855627577,8.36770771950501,32.23335297583972,32.8815556865056,19.269298762522098
02,051,150.0,184.0,620.0,601.0,374.0,1929.0,7.776049766718507,9.538621047174702,32.1410057024365,31.15603939865215,19.388284085018146
02,052,167.0,182.0,581.0,627.0,327.0,1884.0,8.86411889596603,9.660297239915074,30.83864118895966,33.28025477707006,17.35668789808917
02,053,155.0,195.0,592.0,656.0,342.0,1940.0,7.989690721649484,10.051546391752577,30.515463917525775,33.81443298969072,17.628865979381445
02,054,229.0,152.0,595.0,610.0,421.0,2007.0,11.410064773293472,7.573492775286497,29.64623816641754,30.393622321873444,20.97658196312905
02,055,172.0,139.0,560.0,583.0,399.0,1853.0,9.282245008094982,7.5013491635186185,30.22126281705343,31.462493254182405,21.532649757150566
02,056,169.0,151.0,516.0,481.0,247.0,1564.0,10.805626598465473,9.65473145780051,32.992327365728904,30.754475703324808,15.792838874680307
02,057,146.0,125.0,240.0,417.0,313.0,1241.0,11.76470588235294,10.07252215954875,19.3392425463336,33.60193392425464,25.221595487510072
