KEY_DISTRITO,KEY_SECCION,Renda_Media_Euros
06,071,25558
06,072,28615
06,073,24571
06,074,24110
06,075,27749
06,076,26016
06,077,23259
06,078,23649
06,079,24963
06,080,24015
06,081,24419
06,082,24999
06,083,26761
06,084,24548
06,085,25965
06,086,29092
06,087,28118
06,088,24840
07,001,25416
07,002,22961
07,003,23631
07,004,21469
07,005,22432
07,006,24182
07,007,22021
07,008,23050
07,009,21928
07,010,24443
07,011,22371
07,012,21250
07,013,24307
07,014,20062
07,015,19908
07,016,24961
07,017,21865
07,018,20436
07,019,22616
07,020,19694
07,021,24977
07,022,21630
07,023,19391
07,024,20791
07,025,19826
07,026,20590
07,027,19595
07,028,21610
07,029,23507
07,030,19550
07,031,18942
07,032,21175
07,033,22382
07,034,24387
07,035,24068
07,036,24548
07,037,21604
07,038,21428
07,039,23212
07,040,22522
07,041,20622
07,042,22077
07,043,22411
07,044,23412
07,045,20855
07,046,21084
07,047,20879
07,048,21925
07,049,21457
07,050,21024
07,051,21631
07,052,27649
07,053,23584
07,054,28932
07,055,31861
07,056,23906
07,057,24089
07,058,23141
07,059,17839
07,060,17555
07,061,18232
07,062,18168
07,063,15513
07,064,16272
07,065,14706
07,066,15431
07,067,15392
07,068,14717
07,069,15466
07,070,15987
07,071,18073
07,072,17568
07,073,15826
07,074,16393
07,075,15711
07,076,16429
07,077,16079
07,078,16140
07,079,15950
07,080,17236
07,081,18792
07,082,17614
07,083,16707
07,084,17574
07,085,18443
07,086,17016
07,087,18502
07,088,18082
07,089,20646
07,090,19094
07,091,19682
07,092,14991
07,093,18366
07,094,20531
07,095,20602
07,096,19197
07,097,23770
07,098,27418
07,099,23975
07,100,20867
07,101,21312
07,102,20747
07,103,19387
07,104,18424
07,105,23240
07,106,21676
07,107,25143
07,108,22000
07,109,18314
07,110,22126
07,111,24864
07,112,22005
07,113,19542
07,114,22912
07,115,26196
07,116,21109
07,117,22640
07,118,21854
07,119,19016
07,120,19704
07,121,17469
07,122,20602
07,123,22463
08,001,20129
08,002,22058
08,003,19709
08,004,18664
08,005,20424
08,006,20200
08,007,21252
08,008,20996
08,009,19055
08,010,23078
08,011,21636
08,012,21330
08,013,19916
08,014,18815
08,015,17852
08,016,20176
08,017,21311
08,018,19952
08,019,18238
08,020,19317
08,021,20474
08,022,19884
08,023,18004
08,024,18249
08,025,17137
08,026,20065
08,027,21780
08,028,18350
08,029,16529
